Tarih,Liman,Model,Durum,Nedenler
2026-03-29 07:06,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:08,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:31,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:41,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:58,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 07:59,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:05,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:05,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:08,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:12,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:12,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:12,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:14,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:14,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:25,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:25,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:25,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:26,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:26,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Kourou (Fransiz Guyanasi),Astra-5 (Haberlesme Uydusu),SCRUB,Kritik bulut kalinligi (>%85)
2026-03-29 08:27,Hambantota (Sri Lanka),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:27,Kennedy Space Center (ABD),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:28,Kismaayo (Somali - TUA),Astra-5 (Haberlesme Uydusu),GO,Basarili
2026-03-29 08:32,Kennedy Space Center (ABD),Astra-5 (Haberlesme Uydusu),SCRUB,Ucus hattinda kumulus bulutu
2026-03-29 08:33,Hambantota (Sri Lanka),Astra-5 (Haberlesme Uydusu),SCRUB,Yakit doluluk orani yetersiz
2026-03-29 09:05,Kennedy Space Center (ABD),Falcon-9 (Block 5),SCRUB,Kritik bulut kalinligi (>%85)
